N,P,K,temperature,humidity,ph,rainfall,label,Total_NPK,N_P_ratio,N_K_ratio,P_K_ratio
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,175,2.142857142857143,2.0930232558139537,0.9767441860465116
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,184,1.4655172413793103,2.073170731707317,1.4146341463414633
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,159,1.0909090909090908,1.3636363636363635,1.25
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,149,2.1142857142857143,1.85,0.875
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,162,1.8571428571428572,1.8571428571428572,1.0
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,148,1.864864864864865,1.6428571428571428,0.8809523809523809
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,162,1.2545454545454546,1.8157894736842106,1.4473684210526316
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,187,1.7735849056603774,2.35,1.325
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,181,1.6481481481481481,2.3421052631578947,1.4210526315789473
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,164,1.1724137931034482,1.7894736842105263,1.5263157894736843
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,184,1.7169811320754718,2.275,1.325
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,178,1.9565217391304348,2.142857142857143,1.0952380952380953
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,180,1.3448275862068966,1.7727272727272727,1.3181818181818181
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,185,1.6607142857142858,2.5833333333333335,1.5555555555555556
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,181,1.88,2.5405405405405403,1.3513513513513513
60,48,39,24.28209415,80.30025587,7.0422990689999985,231.0863347,rice,147,1.25,1.5384615384615385,1.2307692307692308
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,164,2.236842105263158,2.073170731707317,0.926829268292683
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,165,2.6,2.3333333333333335,0.8974358974358975
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,151,2.026315789473684,2.138888888888889,1.0555555555555556
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,163,2.5142857142857142,2.2,0.875
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,170,1.9777777777777779,2.4722222222222223,1.25
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,159,1.9,1.7674418604651163,0.9302325581395349
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,167,1.1355932203389831,1.6341463414634145,1.4390243902439024
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,167,2.024390243902439,1.930232558139535,0.9534883720930233
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,182,2.0851063829787235,2.6486486486486487,1.2702702702702702
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,160,1.2452830188679245,1.6097560975609757,1.2926829268292683
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,199,1.6440677966101696,2.255813953488372,1.372093023255814
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,188,1.94,2.3658536585365852,1.2195121951219512
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,153,1.2244897959183674,1.3636363636363635,1.1136363636363635
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,170,1.6470588235294117,2.4,1.457142857142857
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,171,1.280701754385965,1.7804878048780488,1.3902439024390243
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,167,2.6285714285714286,2.3,0.875
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,161,2.2972972972972974,2.1794871794871793,0.9487179487179487
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,189,1.849056603773585,2.5789473684210527,1.394736842105263
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,186,1.6296296296296295,2.0,1.2272727272727273
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,192,1.7272727272727273,2.261904761904762,1.3095238095238095
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,191,1.736842105263158,2.8285714285714287,1.6285714285714286
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,170,2.4358974358974357,2.638888888888889,1.0833333333333333
